Sequence,DeviceId,ScoredLabels,ScoredProbabilities
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768104,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768175,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768182,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768189,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768195,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
9768200,1268,0,0.007972776
